Average TCF4A,Average TCF4D,Average TCF4I,Average TCF4M,Average TCF20A,Average TCF 20 D,Average TCF 20 I,Average TCF 20 M,Average TCF36A,Average TCF36D,Average TCF36I,Average TCF36M,Average TCF44A,Average TCF44D,Average TCF44I,Average TCF44M,Average TCF44hA,Average TCF44hD,Average TCF44hI,Average TCF44hM,Average TCF72D,Average TCF72I,Average TCF72M,Average TCF72mA,Average TCF72mD,Average TCF72mI,Average TCF72mM,Average TCF72hA,Average TCF72hI,`
4.09,4.525,6.33,14.345,3.145,2.55,43.605,5.085,0.57,0,1.065,2.48,0.393333333,0.306666667,1.706666667,2.106666667,0,0,0.463333333,0.376666667,23.535,3.43,11.75,2.735,0.903333333,0,0.933333333,0.8,1,2.566666667
0.87,1.805,1.795,5.635,2.225,3.225,12.395,0,0,0,0,0.75,0.526666667,1.553333333,0,0.556666667,0,0,0,0,3.74,7.96,11.36,0,0.456666667,0,0.47,0,0,0.453333333
1.87,6.25,9.58,8.47,1.34,3.77,22.395,1.39,0.575,0.69,0,0.805,1.696666667,0.663333333,0,0.596666667,2.17,0,0.406666667,0.81,6.845,12.63,46.25666667,5.735,1.43,0,3.743333333,2.47,0.803333333,0.976666667
5.05,4.31,0,10.855,1.27,1.495,10.43,6.535,1.015,1.565,0,0,0.436666667,1.556666667,0,0.656666667,0,0,0.36,0,0,7.45,2.233333333,3.415,0.87,0.7,0.486666667,0,0.953333333,0
81.465,61.27,98.825,94.05,27.525,35.385,44.155,42.01,3.87,11.98,3.345,1.1,3.876666667,5.11,4.45,5.723333333,0.376666667,0,0.37,0.603333333,25.355,14.69,46.78333333,8.26,6.13,11.855,14.28666667,7.82,10.35333333,3.953333333
2.87,2.085,1.535,5.07,0,1.115,9.145,0,0,0,1.355,0,1.116666667,0,0,0,0.706666667,0,0,0,3.285,0.503333333,3.583333333,0.81,0,0.525,0,0,0,0.146666667
16.825,19.245,18.71,22.895,13.63,9.875,37.035,12.255,2.565,2.6,3.835,5.375,4.153333333,4.236666667,3.766666667,1.776666667,1.136666667,0,1.8,0.69,6.87,15.59,53.45,5.855,2.833333333,0,9.18,1.49,3.173333333,1.486666667
9.49,4.55,10.575,16.43,5.03,4.44,10.69,6.355,0.06,1.575,0,0.72,1.303333333,0.746666667,1.08,2.126666667,2.283333333,2.29,0.45,0.366666667,6.125,6.63,11.34666667,0,2.83,1.28,0,0.645,1.416666667,3.1
3.71,25.345,17.47,24.14,3.405,6.765,53.855,7.27,3.175,1.395,2.765,1.915,1.22,1.396666667,2.18,1.06,1.21,4.05,2.473333333,3.013333333,17.655,12.82666667,66.36,11.26,3.26,4.285,6.72,5.4,5.75,4.506666667
1.35,1.905,1.64,1.025,0,0,0,0,0.51,0,0,0.665,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463333333
9.69,2.425,6.4,9.985,0.6,3.5,8.925,3.96,0,0.575,0.495,0,0.83,0.28,1.12,0.62,0.68,0,0.84,0.343333333,9.1,2.563333333,5.35,1.655,1.493333333,1.17,0.52,0,0.663333333,0
3.87,2.27,0.87,6.475,4.095,2.71,5.015,3.03,0.5,0.51,0,1.16,0.373333333,0.363333333,0.606666667,0,0,0,0,0,0,0,0,2.49,0.426666667,0.56,0.916666667,0,0.596666667,0.49
4.72,1.115,11.49,7.46,6.75,3.24,16.155,0,0,0,2.005,0.585,0.433333333,0.293333333,0,1.2,0.673333333,0,0.856666667,0,0,1.516666667,13.38,3.47,2.033333333,0.56,1.343333333,0.765,0.696666667,2.86
5.31,4.14,3.53,5.54,5.53,4.265,7.665,1.01,3.375,2.14,1.055,3.285,1.456666667,4.11,2.526666667,0.673333333,0.466666667,3.5,0.91,0.373333333,0,2.133333333,3.873333333,0.9,1.3,4.035,1.883333333,1.315,0,0.443333333
9.675,6.915,11.275,8.34,5.255,8.69,13.925,2.41,1.75,3.815,6.245,1.925,3.423333333,1.686666667,0,1.29,0.37,0,2.33,0.78,3.885,6.923333333,8.43,5.73,1.443333333,0.925,3.86,0,0.586666667,0.47
0.75,1.995,0.745,1.695,0,0,5.38,1.585,0.495,0,0,0,0.396666667,0.536666667,0,0.476666667,0,0,0.806666667,0.323333333,3.205,0,1.7,0,0,0,0,1.15,0,0
